c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62
A1200,14,0,1,0,156,59,0,0,2,6,1,1,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,2,3,0,3,0,1,1,3,0,0,1,0,1,0,0,1,1,3,1,1
A1201,21,1,0,1,170,61,0,0,0,10,0,1,0,0,0,99,99,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,3,7,1,2,0,1,1,2,0,0,1,1,0,0,0,0,0,2,1,0
A1202,17,1,1,0,180,50,0,1,2,7,1,1,0,1,1,99,99,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,2,1,2,1,0,0,2,0,1,1,1,1,0,0,0,0,1,0,0
A1203,20,1,1,0,166,45,0,1,0,8,0,0,0,0,0,99,99,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,7,5,1,2,1,0,1,2,0,1,0,0,0,0,0,1,0,3,1,1
A1204,21,1,1,0,145,57,0,1,2,8,1,1,0,1,1,99,99,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,3,10,1,2,0,1,0,2,0,1,1,0,1,10,1,1,0,1,1,1
A1205,20,1,0,1,169,55,0,0,0,8,0,1,0,1,1,99,99,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,6,7,0,2,0,0,0,5,0,0,1,1,1,1,1,1,1,1,1,0
A1206,21,1,1,0,170,56,0,1,2,7,1,1,1,0,0,99,99,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,5,7,0,3,0,1,1,2,0,1,1,1,1,3,1,1,1,2,1,1
A1207,20,1,1,0,156,56,0,0,0,5,0,1,1,0,0,99,99,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,3,4,1,3,0,0,0,1,0,1,1,1,1,2,0,1,0,1,0,0
A1208,21,1,1,0,168,57,0,1,0,6,0,1,0,0,0,99,99,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,3,4,0,2,0,1,1,2,0,0,0,1,1,2,0,0,1,3,1,0
A1209,19,0,1,0,158,56,0,0,2,10,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,2,6,1,2,0,1,0,1,0,0,1,1,1,5,0,1,1,3,1,1
A1210,20,1,1,0,170,70,0,1,2,8,1,1,0,0,0,99,99,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,4,5,1,2,0,1,0,2,0,0,1,1,0,2,0,1,1,3,1,1
A1211,21,1,1,0,157,75,0,0,2,7,1,1,1,1,1,99,99,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,3,8,1,2,0,0,1,3,1,1,1,0,0,0,1,0,0,2,1,1
