c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63
A1,21,0,1,0,174,96,1,1,0,9,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,7,1,1,3,0,0,1,8,1,1,0,1,0,2,1,0,1,1,0,1,1
A2,21,0,0,0,189,87,1,1,2,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,3,0,1,3,1,0,1,8,1,1,1,0,0,1,0,0,0,3,0,0,0
A3,23,1,0,1,185,110,1,1,2,8,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,2,0,0,3,1,1,0,5,0,0,0,0,1,1,0,0,0,1,1,1,1
A4,22,0,0,1,149,61,0,0,0,8,1,0,0,0,1,99,99,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,0,3,1,0,3,0,1,0,9,0,0,0,1,1,2,0,0,1,3,0,1,1
A5,23,1,0,1,147,92,1,1,2,7,1,1,0,0,1,0,99,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,2,0,1,0,8,0,0,0,0,0,0,0,1,1,3,0,0,1
A6,22,0,1,1,154,111,0,0,1,7,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,3,0,0,1,8,1,1,1,1,0,2,1,0,1,1,0,0,0
A7,24,0,0,1,174,90,1,1,2,7,1,1,1,0,1,0,99,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,3,0,0,3,0,0,1,6,1,1,0,1,0,2,0,1,0,3,0,0,0
A8,22,1,0,0,169,103,1,1,1,7,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,6,1,1,3,1,0,1,1,1,1,1,0,1,2,0,1,0,2,0,0,0
A9,21,0,0,1,159,80,1,1,1,7,0,1,0,1,2,0,99,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,5,0,1,3,1,1,0,3,0,0,0,1,0,1,0,1,0,2,1,1,1
A10,22,1,0,1,192,101,0,0,0,8,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,7,1,1,3,1,0,1,4,1,1,0,0,1,2,0,0,1,2,1,0,1
A11,23,1,1,1,191,79,1,1,0,9,1,1,0,0,1,0,99,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,6,0,0,3,0,1,0,10,0,0,1,1,1,2,0,1,0,3,1,0,0
A12,22,1,1,0,153,107,1,1,1,7,0,0,1,1,2,0,1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,7,1,1,3,1,0,1,10,1,1,0,0,0,1,1,0,0,1,1,1,1
A13,23,1,0,1,172,139,1,1,1,9,0,0,0,0,1,99,99,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,6,0,0,3,1,1,0,5,0,0,0,1,0,1,0,0,1,2,1,1,1
A14,22,1,1,0,157,110,1,1,2,9,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,6,1,1,1,0,1,0,2,0,0,1,0,1,1,0,0,0,1,0,1,0
A15,22,1,1,1,169,97,1,1,1,8,0,1,0,0,1,0,99,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,7,0,1,2,0,1,0,3,0,0,1,0,0,0,0,1,0,2,0,0,1
A16,22,1,0,1,185,139,1,1,1,9,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,5,1,1,3,0,1,0,5,0,0,1,1,0,1,1,1,1,3,1,0,1
A17,21,1,1,0,172,67,1,1,2,8,1,1,0,0,1,99,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,3,1,1,0,2,0,0,0,0,0,0,0,1,1,2,1,1,1
A18,20,0,0,1,151,64,1,1,1,7,0,0,1,1,2,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,4,1,0,3,1,0,1,8,1,1,0,0,1,2,0,0,0,1,1,0,1
A19,21,0,0,0,190,95,1,1,1,7,0,1,0,1,2,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,3,0,1,1,1,1,0,6,0,0,1,1,1,2,0,1,1,1,0,1,0
A20,23,0,1,1,187,62,0,0,0,7,1,1,0,1,2,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,3,1,0,2,0,1,0,6,0,0,1,1,1,2,1,1,0,3,0,1,1
A21,19,0,0,1,163,159,1,1,0,8,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,4,0,0,3,0,0,1,6,1,1,0,1,0,2,1,1,0,2,0,0,1
A22,23,0,0,0,179,152,0,0,2,7,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,5,1,1,0,0,1,2,0,1,0,2,1,1,0
A23,24,1,1,1,195,65,0,0,1,1,0,0,0,0,1,1,99,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,1,2,0,1,1,0,1,0,3,0,0,1,1,0,1,0,0,1,2,0,1,0
A24,22,0,0,1,157,153,0,0,0,8,1,1,0,1,2,1,99,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,6,1,0,3,1,1,0,9,0,0,0,1,0,1,0,1,1,1,1,1,0
A25,21,0,1,0,189,132,1,1,0,8,1,0,0,0,1,99,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,6,0,0,3,1,1,0,6,0,0,0,1,1,2,0,0,1,1,1,1,0
A26,22,0,0,0,197,114,0,0,1,8,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,5,1,1,1,0,1,0,10,0,0,1,1,0,1,0,1,0,3,1,1,1
A27,21,1,1,1,144,80,0,0,0,9,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,5,0,0,3,1,1,0,10,0,0,0,1,1,2,1,1,1,1,1,1,1
A28,23,1,1,0,171,152,1,1,2,8,1,1,1,0,1,99,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,2,0,1,3,0,0,1,1,1,1,0,1,0,2,0,1,1,3,1,1,0
A29,21,0,0,0,185,81,1,1,0,8,1,1,0,0,1,0,99,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,3,0,1,3,1,1,0,4,0,0,1,0,0,0,0,1,1,2,0,1,1
A30,21,0,1,1,175,120,1,1,1,7,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,3,1,1,0,10,0,0,1,0,0,0,0,1,1,3,0,1,1
A31,23,0,1,0,149,108,0,0,2,8,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,3,0,0,1,0,1,1,0,0,0,2,0,1,0
A32,21,0,0,1,157,56,1,1,2,7,1,1,0,0,1,0,99,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,0,1,3,0,1,0,6,0,0,1,1,0,1,0,1,0,2,1,0,0
A33,21,0,0,0,161,118,1,1,1,8,0,1,1,0,1,99,0,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,3,1,0,3,1,0,1,5,1,1,0,1,0,2,1,1,1,3,1,1,0
A34,21,0,0,1,182,126,0,0,0,8,1,0,0,0,1,99,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,3,1,1,0,4,0,0,0,1,1,2,1,0,1,2,1,0,0
A35,21,0,0,1,185,76,1,1,1,7,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,2,1,0,3,1,0,1,1,1,1,1,1,0,2,0,0,0,2,1,0,0
A36,21,1,0,1,188,122,1,1,0,8,1,1,1,1,2,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,5,0,1,3,0,0,1,6,1,1,1,0,0,1,1,1,1,2,0,0,0
A37,21,1,0,1,181,111,1,1,0,8,1,1,1,1,2,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,7,1,1,3,1,0,1,5,1,1,1,0,0,1,0,1,0,1,0,1,1
A38,20,1,1,0,161,72,1,1,0,8,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,6,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,3,0,0,1
A39,21,1,0,0,140,152,0,0,2,8,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,4,0,1,3,0,0,1,9,1,1,0,0,1,2,0,1,0,2,1,0,0
A40,21,0,0,0,168,135,1,1,1,7,0,1,0,0,1,0,99,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,3,1,0,1,0,1,0,8,0,0,1,1,1,2,0,1,0,2,0,1,1
A41,20,0,1,0,176,54,0,0,0,7,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,7,1,0,2,1,0,1,1,1,1,0,0,0,1,0,1,0,3,0,0,1
A42,23,0,1,1,163,110,0,0,2,6,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,2,1,0,3,0,1,0,5,0,0,0,0,0,0,0,1,1,2,0,1,1
A43,23,0,0,1,172,105,1,1,2,7,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,6,0,0,3,0,0,1,7,1,1,1,0,1,2,0,0,1,2,1,1,1
A44,22,0,0,1,196,116,0,0,1,8,0,0,1,1,2,0,99,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,7,0,0,3,1,0,1,10,1,1,1,1,0,2,0,0,0,2,1,0,0
A45,23,1,0,1,187,89,0,0,2,7,1,0,0,1,2,0,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,1,2,0,1,0,1,0,0,0,1,1,2,0,0,0,2,1,1,0
A46,22,0,0,1,172,92,1,1,0,9,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,3,0,0,2,0,1,0,1,0,0,0,1,1,2,0,1,0,3,1,0,0
A47,21,0,0,1,178,127,1,1,0,8,1,0,0,0,1,99,1,0,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,5,1,0,3,1,1,0,6,0,0,1,1,1,2,0,0,1,3,1,1,0
A48,17,0,1,1,164,70,1,1,2,8,1,1,0,0,1,0,99,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,9,0,0,1,0,0,0,0,1,0,2,1,1,0
A49,20,0,1,0,143,88,1,1,1,6,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,7,1,0,3,0,1,0,10,0,0,0,1,1,2,0,1,0,1,0,0,1
A50,21,0,0,0,191,54,1,0,2,8,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,3,0,0,3,1,1,0,9,0,0,0,1,0,1,0,1,1,1,0,0,1
A51,20,0,0,0,141,143,0,0,0,9,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,6,0,1,3,0,1,0,4,0,0,1,1,0,1,1,1,0,2,1,1,1
A52,22,1,0,1,193,54,0,0,1,8,0,1,0,0,1,99,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,6,0,1,3,1,1,0,8,0,0,0,1,1,2,1,1,0,3,0,0,1
A53,22,0,1,0,190,83,1,1,0,9,1,1,0,0,1,0,99,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,2,0,0,2,0,1,0,3,0,0,1,0,1,1,0,1,1,3,1,0,1
A54,21,1,0,0,175,135,1,1,1,8,0,1,1,1,2,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,4,1,0,3,1,0,1,9,1,1,1,0,0,1,0,1,1,1,0,0,1
